EmpID,ProjectID,DateFrom,DateTo
176,14,2008-08-03,2009-07-01
156,18,2015-05-25,2016-12-12
188,14,2017-04-13,2018-01-25
149,12,2015-08-06,2018-01-20
123,17,2006-05-03,2006-08-04
198,10,2018-06-11,2019-11-05
182,13,2014-04-28,2016-05-19
144,11,2011-12-28,2012-05-14
122,15,2015-12-25,2017-04-06
140,12,2020-10-14,2023-05-01
196,13,2011-10-19,2013-03-25
103,10,2013-07-19,2014-02-12
173,14,2014-07-20,2016-01-03
186,12,2011-11-13,2014-04-04
163,17,2012-07-01,2014-07-05
174,13,2014-09-02,2016-07-08
111,13,2015-10-15,2017-06-01
161,14,2010-03-11,2012-03-18
185,16,2018-11-13,2020-12-23
165,13,2019-04-20,2019-09-21
173,11,2015-09-03,2017-11-29
111,14,2014-02-17,2016-02-18
188,11,2007-05-10,2008-04-24
161,13,2010-05-11,2012-12-29
105,11,2019-05-25,2019-08-31
182,19,2017-05-06,2018-03-24
140,14,2011-01-14,2013-04-18
101,12,2010-06-23,2010-07-10
151,19,2010-04-01,2012-05-01
109,10,2018-04-13,2020-06-25
152,19,2017-04-24,2018-08-18
134,15,2010-07-11,2011-05-18
138,15,2011-03-12,NULL
174,17,2016-05-03,NULL
116,16,2005-01-25,2006-05-31
121,16,2017-05-24,2017-12-15
140,15,2009-11-16,2011-04-12
173,16,2005-09-03,2006-05-22
135,11,2015-10-02,2015-11-30
161,12,2008-12-19,2011-09-06
174,11,2007-02-22,NULL
152,11,2017-11-15,2019-02-15
132,11,2012-05-03,2013-03-31
104,13,2015-06-16,2016-12-05
154,20,2012-03-13,2012-04-18
164,18,2005-05-13,2007-03-07
107,16,2019-06-24,2021-08-16
198,19,2007-06-01,2007-08-16
126,17,2011-02-12,2013-03-17
105,19,2012-11-11,2014-10-05
104,14,2012-12-08,2014-05-20
100,17,2019-07-11,2021-04-24
198,18,2005-07-09,2007-10-19
109,15,2019-05-24,NULL
130,12,2018-08-15,2020-01-05
180,12,2007-03-06,2008-08-31
185,19,2008-10-21,2009-01-18
150,10,2009-06-08,2011-01-02
162,17,2006-10-23,2009-01-22
182,18,2019-01-06,2019-09-26
139,19,2008-09-12,2011-03-03
179,20,2012-01-28,2013-06-06
121,11,2017-09-12,NULL
147,13,2020-03-20,2022-10-20
127,17,2012-03-08,2012-10-05
188,12,2015-08-10,2016-12-30
199,16,2013-11-28,2013-12-13
121,13,2007-02-09,2009-02-05
184,11,2010-11-06,2012-03-04
200,15,2005-05-24,NULL
176,17,2008-09-28,2009-09-11
161,19,2009-07-18,NULL
155,16,2012-04-01,NULL
138,15,2012-01-07,2014-01-12
121,10,2006-08-24,NULL
125,13,2017-09-24,2018-10-21
140,11,2016-06-10,2016-07-19
159,11,2016-12-06,2017-06-17
151,16,2009-08-14,2010-05-22
154,13,2005-08-09,NULL
140,13,2013-11-18,2015-12-09
137,16,2017-09-20,2019-07-15
189,11,2006-03-28,NULL
135,20,2005-10-18,2006-03-20
170,12,2018-08-19,2020-08-29
182,12,2009-04-03,2010-10-11
193,11,2016-11-01,2017-06-01
126,14,2013-09-09,2014-06-24
107,16,2012-09-17,2013-10-25
134,13,2012-04-17,2013-01-13
113,14,2019-05-19,2021-09-04
151,10,2008-09-08,2009-11-02
200,19,2009-02-15,2011-07-17
142,13,2012-03-19,NULL
171,10,2015-07-02,2017-09-21
147,10,2008-01-12,NULL
200,20,2017-11-25,2019-03-03
164,20,2019-01-01,2019-11-02
121,11,2012-02-14,2013-08-17
190,20,2018-01-18,2020-08-23
